efector;fechaGasto;periodo;numero_comprobante_gasto;codigogasto;efector_sesion;monto;concepto
G07111;2014-11-13;2014-11;;3.2;;1950.41;
G07111;2014-11-17;2014-11;;3.2;;4339.67;
G07111;2014-11-19;2014-11;;3.2;;4339.67;
G12159;2014-11-12;2014-11;;2.3;;1200.00;
G12159;2014-11-12;2014-11;;2.3;;400.00;
G12159;2014-11-12;2014-11;;2.3;;300.00;
G12159;2014-11-12;2014-11;;2.3;;300.00;
G12159;2014-11-12;2014-11;;2.3;;300.00;
G12159;2014-11-12;2014-11;;3.2;;500.00;
G98925;2014-11-10;2014-11;;2.3;;800.00;
G98925;2014-11-10;2014-11;;2.3;;1600.00;
G98925;2014-11-14;2014-11;;4.3;;799.86;
G98938;2014-11-07;2014-11;;2.3;;162.50;
G98937;2014-11-04;2014-11;;2.1;;1500.00;
G98932;2014-11-10;2014-11;;2.3;;1500.00;
G98932;2014-11-10;2014-11;;2.3;;1000.00;
G12163;2014-11-14;2014-11;;2.1;;2100.00;
G12163;2014-11-14;2014-11;;2.1;;1000.00;
G12163;2014-11-14;2014-11;;2.1;;1000.00;
G12163;2014-11-14;2014-11;;2.1;;2000.00;
G12163;2014-11-14;2014-11;;2.1;;2000.00;
G12163;2014-11-14;2014-11;;2.1;;1200.00;
G12163;2014-11-14;2014-11;;2.1;;3000.00;
G12163;2014-11-14;2014-11;;2.1;;4000.00;
G12163;2014-11-18;2014-11;;2.1;;5000.00;
G12163;2014-11-18;2014-11;;2.1;;2500.00;
G12163;2014-11-18;2014-11;;2.1;;2500.00;
G12163;2014-11-18;2014-11;;2.1;;5000.00;
G12163;2014-11-19;2014-11;;2.1;;3000.00;
G12163;2014-11-19;2014-11;;2.1;;3500.00;
G12163;2014-11-20;2014-11;;2.1;;2000.00;
G12163;2014-11-10;2014-11;;2.2;;1500.00;
G12163;2014-11-10;2014-11;;2.2;;1500.00;
G12163;2014-11-14;2014-11;;2.2;;300.00;
G12163;2014-11-14;2014-11;;2.2;;300.00;
G12163;2014-11-14;2014-11;;2.2;;300.00;
G12163;2014-11-14;2014-11;;2.2;;300.00;
G12163;2014-11-14;2014-11;;2.2;;600.00;
G12163;2014-11-14;2014-11;;2.2;;1200.00;
G12163;2014-11-14;2014-11;;2.2;;300.00;
G12163;2014-11-14;2014-11;;2.2;;300.00;
G12163;2014-11-14;2014-11;;2.2;;600.00;
G12163;2014-11-14;2014-11;;2.2;;300.00;
G12163;2014-11-14;2014-11;;2.2;;400.00;
G12163;2014-11-14;2014-11;;2.2;;300.00;
G12163;2014-11-14;2014-11;;2.2;;1500.00;
G12163;2014-11-14;2014-11;;2.3;;1300.00;
G12163;2014-11-14;2014-11;;2.3;;300.00;
G12163;2014-11-14;2014-11;;2.3;;300.00;
G12163;2014-11-14;2014-11;;2.3;;800.00;
G12163;2014-11-14;2014-11;;2.3;;2000.00;
G12163;2014-11-17;2014-11;;2.3;;2300.00;
G12163;2014-11-18;2014-11;;2.3;;2500.00;
G12163;2014-11-19;2014-11;;3.1;;2090.00;
G12163;2014-11-21;2014-11;;3.1;;3000.00;
G12163;2014-11-14;2014-11;;3.2;;500.00;
G12163;2014-11-14;2014-11;;3.2;;135.00;
G12163;2014-11-14;2014-11;;3.2;;1460.00;
G12163;2014-11-14;2014-11;;3.2;;993.25;
G12163;2014-11-26;2014-11;;3.2;;4757.00;
G12140;2014-11-07;2014-11;;2.1;;2000.00;
G12140;2014-11-07;2014-11;;2.1;;1500.00;
G12140;2014-11-12;2014-11;;2.3;;200.00;
G12140;2014-11-12;2014-11;;2.3;;200.00;
G12140;2014-11-12;2014-11;;2.3;;300.00;
G12140;2014-11-17;2014-11;;2.3;;150.00;
G12140;2014-11-19;2014-11;;2.3;;160.00;
G12140;2014-11-19;2014-11;;2.3;;550.00;
